Progress,Duration (in seconds),Finished,ResponseId,1,2,3,4,5#1_1,5#1_2,5#1_3,5#1_4,5#1_5,5#1_6,5#1_7,5#1_8,5#1_9,5#1_10,5#1_11,7 _1,7 _2,7 _3,7 _4,7 _5,7 _6,7 _7,7 _8,7 _9,7 _10,7 _11,7 _12,7 _13,7 _14,7 _15,7 _16,7 _17,7 _18,7 _19,7 _20,7 _21,7 _22,7 _23,7 _24,7 _25,7 _26,7 _27,7 _28,7 _29,7 _30,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,7_10,7_11,7_12,7_13,7_14,7_15,7_16,7_17,7_18,7_19,7_20,7_21,7_22,7_23,7_24,7_25,7_26,7_27,7_28,7_29,7_30,7_31,7_32,7_33,7_34,7_35,7_36,7_37,7_38,7_39,7_40,7_41,7_42,7_43,7_44,7_45,7_46,7_47,7_48,7_49,7_50,7_51,7_52,7_53,7_54,7_55,7_56,7_57,7_58,7_59,7_60,7_61,7_62,7_63,7_64,7_65,7_66,7_67,7_68,7_69,7_70,7_71,7 _1,7 _2,7 _3,7 _4,7 _5,7 _6,7 _7
100,325,1,R_48nfy9y1YLV3ixz,5,4,4,"1,2,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,6,1,7,7,1,7,7,1,1,1,5,7,,2,1,1,1,1,2,1,3,3,1,7,1,4,1,1,1,1,,,,,,,
100,422,1,R_2P7Q4qADuW8BNgV,5,4,4,"1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,1,7,6,1,1,1,1,1,1,5,,7,1,4,3,7,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
100,321,1,R_3GkvjkUo7Dr1dYZ,5,4,4,"1,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,1,1,1,1,1,1,1,1,1,1,3,4,,1,1,1,1,1,5,1,1,1,6,4,1,1,1,1,1,1,,,,,,,
100,247,1,R_7pSfnECN3YNRg8h,5,4,4,"1,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,6,3,2,4,5,7,1,1,1,1,,1,1,1,1,1,1,1,7,4,1,1,1,1,1,1,1,1,,,,,,,
100,338,1,R_7GDkDwYmplsTpYD,4,5,4,"2,3",,"2,3","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4",,,,,,,,,,,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,5,4,1,1,,7,3,8,1,8,1,1,1,1,1,1,8,1,2,1,1,1,1,3,5,1,1,8,1,1,1,3,1,1,3,,1,1,1,1,4,1,1,1,5,1,4,5,1,1,1,1,1,,,1,1,1,1,1
100,380,1,R_38Vtxd2HSOB8IJr,3,5,4,3,,,"1,2,3,4,5",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,6,1,3,1,1,3,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,286,1,R_1gUPStercprFKHI,6,2,2,"1,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,2,4,1,1,1,1,1,1,7,,,,,,,
100,382,1,R_6LOJasA583tFBQ0,4,3,2,3,"2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4",,,,,,,,,,,6,3,3,5,3,3,5,5,2,4,4,4,4,4,4,4,4,4,4,4,4,,3,7,3,3,5,5,5,5,5,4,5,5,5,5,5,3,3,3,4,5,5,,3,3,7,1,2,2,2,2,2,2,4,4,4,4,4,5,5,7,1,1,3,3,3,3,7,7,7,4,5,5,,4,6,4,4,4,4,4,7,7,7,7,7,7,7,7,5,7,,,3,5,3,5,7
100,293,1,R_1mOPIxrIgJxuMAm,6,2,2,"1,2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,5,2,1,3,3,3,7,2,3,4,3,1,1,5,2,1,3,1,1,1,1,6,,,,,,,
100,213,1,R_58SblJa37o4Quwn,2,5,5,"1,2,3","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5",1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,7,8,8,1,1,1,1,1,1,1,1,1,1,7,1,1,1,7,1,1,1,1,1,1,7,7,7,7,7,7,1,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,72,1,R_1eLt5Na4ffzjSxr,5,3,3,"1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
100,303,1,R_42QnwBVz94duflf,5,4,4,"1,2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,6,4,5,6,5,3,7,4,3,4,6,5,,7,5,2,5,5,2,7,6,5,4,7,1,4,6,1,6,5,,,,,,,
100,377,1,R_7rZQ43L1VocElZf,3,4,4,"1,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,1,1,1,1,1,8,8,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,303,1,R_383qh0vN3olUH8l,6,3,2,3,,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,6,1,1,1,1,5,1,1,8,1,1,1,1,1,1,1,1,1,,,,,,,
100,411,1,R_5R26oihuZfEVUus,4,6,4,"1,3","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,7,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,7
100,195,1,R_14jI2NuW8H1xfHr,5,5,4,"1,2,3,4",,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,8,1,1,6,5,1,1,1,1,4,4,8,2,,2,1,1,1,1,7,1,1,7,6,1,1,1,1,6,6,1,,,,,,,
100,367,1,R_7mqyBXBgEKmNd97,1,2,2,"1,2",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",4,7,2,5,3,3,4,5,4,7,2,2,1,5,1,1,1,1,,,,,,,,,,,,,7,7,7,6,7,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,1,1,6,7
100,188,1,R_7nBoiKQYIAx6zU5,5,5,5,"2,3,4",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,4,3,2,7,2,4,2,4,6,2,3,3,2,,2,3,3,2,2,4,2,6,5,3,4,3,3,2,3,1,2,,,,,,,
100,263,1,R_7gSyn9fSDEw611r,2,5,5,"1,2,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,6,5,6,5,6,6,4,2,5,7,5,6,4,5,5,5,6,6,5,7,6,5,6,6,1,5,5,5,5,5,6,5,6,6,6,6,7,6,5,5,5,6,5,5,5,6,5,6,5,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,3,3,3,3
100,333,1,R_5hbfrprNmmYyIh6,5,4,2,"2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,7,,1,1,1,1,5,1,1,7,7,1,6,1,1,6,1,1,1,,,,,,,
100,545,1,R_3K0APIDgupWgaz5,5,5,4,"2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,1,7,1,1,1,1,1,1,1,1,1,,1,1,1,6,1,4,5,7,7,1,1,1,1,1,1,1,1,,,,,,,
100,386,1,R_4WIneZKR0j5KUaR,5,5,4,"1,3",,,,"1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,3,1,1,1,1,2,1,1,1,3,1,7,,1,3,1,1,1,1,7,6,6,1,3,1,1,4,1,1,1,,,,,,,
100,225,1,R_4VF6DIbUsGCDZ6O,5,4,4,"1,2,3","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,1,1,7,1,1,2,5,1,1,1,1,1,,1,1,1,5,1,1,3,1,1,1,4,1,1,1,1,1,1,,,,,,,
100,126,1,R_3TQNYumfCcj2ZMk,5,4,4,"1,3","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,1,2,2,2,2,2,3,4,4,4,5,5,5,,5,2,3,5,5,2,5,3,3,5,5,5,2,4,4,4,5,,,,,,,
100,281,1,R_1jmRtLq4fX13y6J,5,5,4,"2,3",,,"1,2,3,4","1,2,3,4","1,2,3,4",,"1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,4,7,7,4,1,1,7,5,1,1,8,5,,4,1,3,6,6,5,4,1,1,1,1,3,3,1,1,1,1,,,,,,,
100,566,1,R_4kYrV2lVOjb6GuH,2,3,3,"1,2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",8,8,8,8,8,8,8,7,7,3,8,8,4,8,3,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,2,8,8,1,6,6,6,8,4,8,8,8,3,3,3,3,3,6,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,3,8,3,8,3
100,255,1,R_7QYWhGVdTONSRQx,5,1,1,"1,2,3",,,"1,2,3,4,5","1,2,3,4,5",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,3,7,5,1,5,1,1,6,2,1,4,8,7,,5,3,3,3,3,3,1,6,6,3,3,7,7,3,1,1,1,,,,,,,
100,551,1,R_66nkzvipsTfmvLT,2,6,6,3,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,1,1,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,4,3,2,7,6,3,3,4,6,7,2,4,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,2,7,1
100,255,1,R_6PcDt05uFGi0Mac,2,3,3,"1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
100,193,1,R_1kIgb8vTjn26ZEP,5,4,3,3,,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,1,1,,,,,,,
100,489,1,R_3wLCdmNvqEniLli,6,4,3,"2,3",,"2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,6,3,5,3,4,4,5,4,1,3,1,1,3,2,4,4,3,5,4,3,1,7,7,1,2,7,4,7,1,7,,,,,,,
100,469,1,R_6VjO61bKqLnGhjC,2,4,4,"1,2,3,4",,"2,3,4","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,1,1,1,1,1,1,1,1,1,4,8,8,5,7,1,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,8,8,8,8,8,8,8,8,7,7,7,7,7,7,5,5,5,3,7,5,5,6,3,6,6,5,4,4,4,5,4,6,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,4,3
100,441,1,R_1knZ5IQ5KwWoR9b,4,7,5,"2,3",,,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4",,,,,,,,,,,3,8,8,1,7,1,8,8,8,1,1,7,7,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,1,7,1,1,4,1,7,1,5,1,,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1
100,674,1,R_707N23eXCataIzn,3,5,5,"2,3",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,6,1,6,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,1,7,1,7,1,6,6,6,6,6,3,3,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
